qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_percent_directory,directory_length,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,tls_ssl_certificate,url_shortened,phishing
4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,4,0,0,0,6,0,0,0,0,1,0,11,0,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,51,2,0,0,0,8,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42,2,1,0,0,5,0,0,0,0,0,0,24,23,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,8,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,3,1,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,0,0,0,10,0,0,0,0,0,0,11,0,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,1,65,1,0,0,0,8,0,0,0,0,0,0,22,0,2,0,1,0,0,0,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,4,0,0,0,0,0,0,12,5,-1,-1,-1,-1,-1,-1,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,3,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
4,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,52,2,0,0,0,5,0,0,1,0,0,0,9,8,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,3,0,0,0,10,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,1,0,0,4,0,0,0,0,0,0,10,0,-1,-1,-1,-1,-1,-1,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,4,0,0,1,1,0,0,13,12,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,23,2,0,0,0,1,0,0,0,0,0,0,12,5,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,8,0,0,0,0,0,0,5,0,-1,-1,-1,-1,-1,-1,0,0,0,1
4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,2,108,2,0,0,0,4,0,0,0,0,0,0,4,3,2,0,0,0,0,4,0,1,0,1
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,0,0,0,7,0,0,1,0,0,0,43,14,-1,-1,-1,-1,-1,-1,0,0,0,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,3,0,0,1,0,0,0,19,10,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,378,1,0,0,0,6,0,0,1,0,0,0,197,9,0,0,1,0,0,0,0,1,0,1
5,1,3,5,1,4,0,0,0,0,0,0,0,0,0,0,1,148,2,0,0,0,6,0,0,1,0,0,0,34,10,2,1,3,0,1,0,0,0,0,1
3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,48,2,0,0,0,2,0,0,1,2,0,0,38,7,-1,-1,-1,-1,-1,-1,0,1,0,0
2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,4,0,0,1,1,0,0,19,8,-1,-1,-1,-1,-1,-1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,62,2,0,0,0,7,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0,5,0,0,0,0,0,0,9,8,-1,-1,-1,-1,-1,-1,0,1,0,1
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,1,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,40,2,1,0,0,0,0,0,1,0,0,0,13,9,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2,0,0,0,5,0,0,0,0,1,0,14,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,0,0,0,6,0,0,1,0,0,0,39,7,-1,-1,-1,-1,-1,-1,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,4,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,3,0,0,1,0,0,0,10,9,-1,-1,-1,-1,-1,-1,0,0,0,0
3,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,2,136,1,0,0,0,3,0,0,1,0,0,0,18,10,1,1,3,0,0,0,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,3,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,3,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,2,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2,2,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,4,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2,0,0,0,2,0,0,0,1,0,0,23,0,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,0,0,4,0,0,0,0,0,0,9,0,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,6,0,0,1,0,0,0,15,8,-1,-1,-1,-1,-1,-1,0,0,0,1
3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,56,2,0,0,0,6,0,0,1,0,0,0,39,16,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,57,2,0,0,0,6,0,0,0,0,0,0,41,4,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,49,2,0,0,0,5,0,0,1,0,1,0,20,13,0,0,0,0,0,0,0,1,0,0
1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,95,1,0,0,0,8,0,0,0,1,1,0,71,0,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,0,0,4,0,0,1,0,0,0,15,9,-1,-1,-1,-1,-1,-1,0,1,0,0
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,2,0,0,11,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,2,0,0,10,0,0,1,0,0,0,26,9,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,62,3,0,0,0,8,0,0,0,0,0,0,27,12,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,3,0,0,0,0,0,0,13,12,-1,-1,-1,-1,-1,-1,0,1,0,0
2,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,95,2,0,0,0,5,0,0,0,8,0,0,74,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,4,0,0,1,0,0,0,10,9,-1,-1,-1,-1,-1,-1,0,1,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,3,0,0,0,7,0,0,1,0,0,0,9,8,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,7,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,1,0,0,1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,39,2,0,0,0,6,0,0,0,0,2,0,23,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,3,0,0,0,10,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,86,2,1,0,0,7,0,0,1,2,1,0,54,16,-1,-1,-1,-1,-1,-1,0,1,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,4,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,1,226,2,0,0,0,6,0,0,1,0,0,0,40,9,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,4,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,3,1,0,0,11,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,111,2,0,0,0,4,0,0,0,7,0,0,98,11,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0,9,0,0,1,0,0,0,10,9,-1,-1,-1,-1,-1,-1,0,0,0,1
8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,85,2,0,0,0,4,0,0,6,0,0,0,68,0,-1,-1,-1,-1,-1,-1,0,0,0,1
3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,66,2,0,0,0,6,0,0,1,1,0,0,47,7,-1,-1,-1,-1,-1,-1,0,0,0,1
